variant,date_num,prob,SE,df,asymp.LCL,asymp.UCL,date,totcases,cases,smoothed_totcases,smoothed_cases
C.1.2,18340,5.638015639382921e-65,1.1460714114898374e-63,NA,-2.189878533837236e-63,2.3026388466248945e-63,2020-03-19,34,NA,44.31770034144357,NA
Other,18340,0.99999954553259085,1.5407087600036047e-7,NA,0.9999992435592229,0.9999998475059588,2020-03-19,34,33.99998454810809,44.31770034144357,44.317680200493115
Omicron,18340,5.326971097249246e-44,3.942112228542888e-43,NA,-7.193700881234066e-43,8.259095100683914e-43,2020-03-19,34,NA,44.31770034144357,NA
Delta,18341,1.7432707912601077e-51,1.2116282986469834e-50,NA,-2.200420748871617e-50,2.5490749071236386e-50,2020-03-20,52,NA,53.33150333242748,NA
Beta,18341,4.91267130723412e-7,1.6570833014731075e-7,NA,1.6648477169641015e-7,8.16049489750414e-7,2020-03-20,52,NA,53.33150333242748,NA
Alpha,18341,1.8562937449940814e-24,1.1365252674559764e-23,NA,-2.0419192172340575e-23,2.4131779662328738e-23,2020-03-20,52,NA,53.33150333242748,NA
C.1.2,18341,9.318452529446206e-65,1.887600760080701e-63,NA,-3.6064449816541424e-63,3.792814032243067e-63,2020-03-20,52,NA,53.33150333242748,NA
Other,18341,0.9999995087328691,1.657083300694057e-7,NA,0.9999991839505102,0.999999833515228,2020-03-20,52,51.99997445410919,53.33150333242748,53.33147713241286
Omicron,18341,5.977515111476457e-44,4.412266717558707e-43,NA,-8.050132345452182e-43,9.245635367747474e-43,2020-03-20,52,NA,53.33150333242748,NA
Delta,18342,2.6313053778767084e-51,1.8222552578366458e-50,NA,-3.308424138210904e-50,3.834685213786246e-50,2020-03-21,38,NA,62.49940794369632,NA
Beta,18342,5.310375805297578e-7,1.782174910663093e-7,NA,1.8173771662470285e-7,8.803374444348129e-7,2020-03-21,38,NA,62.49940794369632,NA
Alpha,18342,2.2989717408819147e-24,1.402065436724109e-23,NA,-2.518100585859484e-23,2.9778949340358666e-23,2020-03-21,38,NA,62.49940794369632,NA
C.1.2,18342,1.5400333098650614e-64,3.1086533924203655e-63,NA,-5.938845358575668e-63,6.246852020548681e-63,2020-03-21,38,NA,62.49940794369632,NA
Other,18342,0.9999994689624194,1.7821749103438972e-7,NA,0.9999991196625556,0.9999998182622832,2020-03-21,38,37.99997982057194,62.49940794369632,62.499374754161934
